"죄종별(1)",죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상
"죄종별(1)",죄종별(2),소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계
"계",소계,1585638,65907,9028,11681,13503,14249,17446,1516477,20259,18026,118801,131970,123442,156540,155689,192774,184847,180686,116263,58659,58521,3254,1494421,64152,9109,11924,13517,13653,15949,1425704,19683,19208,113482,125947,110634,142209,139964,173001,176698,168218,117834,59119,59707,4565,1247680,53760,8074,10278,11543,11151,12714,1192060,14931,15806,98877,110262,93637,114769,116993,136942,142579,133894,102666,54857,55847,1860,1250330,60691,11054,12370,12930,11723,12614,1187696,14046,14557,101963,119705,98488,113250,121865,128633,138387,124037,101537,55832,55396,1943
"강력범죄",소계,28943,2358,305,431,463,525,634,26550,693,509,3339,3150,2529,2720,2376,2842,2651,2381,1452,876,1032,35,26971,1898,245,385,359,388,521,25046,515,484,3101,3077,2381,2596,2262,2553,2565,2186,1586,816,924,27,22992,1648,280,280,346,327,415,21318,397,397,2728,2785,1995,2079,1857,2110,2012,1896,1376,722,964,26,25017,1808,366,332,346,364,400,23190,413,400,2948,3226,2261,2175,2085,2035,2303,1899,1544,911,990,19
"강력범죄",살인기수,345,9,-,-,3,1,5,335,6,-,22,26,32,36,30,34,37,44,29,17,22,1,341,2,-,1,1,-,-,339,3,3,23,22,19,36,36,30,42,51,40,16,18,-,307,5,-,1,1,2,1,302,2,5,25,31,27,35,26,24,36,35,26,9,21,-,298,6,-,3,1,1,1,292,2,3,18,32,20,24,31,34,38,31,23,16,20,-
"강력범죄",살인미수등,525,10,2,1,1,3,3,515,6,2,24,37,41,46,50,73,72,73,45,28,18,-,454,7,2,1,1,1,2,445,4,4,46,36,34,40,41,50,52,57,41,17,23,2,409,6,2,-,-,-,4,400,2,5,34,41,30,37,35,56,40,40,43,17,20,3,429,9,-,1,1,5,2,420,4,3,26,28,26,36,36,47,58,62,47,18,29,-
"강력범죄",강도,1336,361,38,69,84,77,93,974,82,51,148,128,111,101,75,95,72,60,32,8,11,1,1202,321,36,84,79,68,54,879,44,52,145,116,94,112,71,71,68,52,26,15,13,2,748,175,36,35,54,24,26,570,18,24,72,70,59,60,67,48,59,40,35,11,7,3,764,169,20,27,58,31,33,595,37,25,105,58,57,73,74,44,41,38,21,11,11,-
"강력범죄",강간,6138,638,51,115,122,167,183,5489,226,167,1022,888,617,619,438,416,361,337,200,100,98,11,6113,565,42,88,95,128,212,5540,184,170,1012,921,694,660,454,374,371,278,188,127,107,8,5593,519,52,78,112,137,140,5065,159,158,990,999,576,542,402,351,295,272,161,87,73,9,5606,468,73,76,81,108,130,5134,145,143,1076,1026,635,518,424,314,308,217,162,91,75,4
"강력범죄",유사강간,895,140,14,25,24,36,41,754,30,35,144,103,96,54,75,62,50,44,31,12,18,1,934,94,11,20,18,15,30,839,29,31,164,136,75,76,67,64,63,61,41,19,13,1,834,105,14,17,23,22,29,727,17,18,151,141,100,71,54,56,35,28,27,10,19,2,917,95,13,16,21,22,23,821,23,20,160,174,93,67,72,66,37,43,30,20,16,1
"강력범죄",강제추행,17892,981,159,168,179,207,268,16890,296,221,1837,1866,1529,1724,1559,1922,1841,1625,1008,655,807,21,16382,738,116,154,134,153,181,15630,220,208,1619,1752,1375,1562,1479,1773,1750,1497,1130,570,695,14,13882,718,146,127,133,121,191,13155,191,175,1367,1419,1134,1244,1175,1442,1387,1326,982,539,774,9,15574,900,208,180,158,162,192,14660,189,195,1474,1802,1343,1377,1332,1386,1622,1349,1118,688,785,14
"강력범죄",기타 강간·강제추행등,495,120,10,26,23,25,36,375,25,23,55,40,32,48,27,32,28,27,19,9,10,-,349,72,7,21,13,7,24,277,16,6,36,39,28,23,18,27,25,21,19,7,12,-,271,44,2,8,7,15,12,227,4,5,28,31,22,21,20,10,31,22,21,3,9,-,283,66,14,10,8,19,15,217,5,3,32,36,20,16,16,12,26,15,18,12,6,-
"강력범죄",방화,1317,99,31,27,27,9,5,1218,22,10,87,62,71,92,122,208,190,171,88,47,48,-,1196,99,31,16,18,16,18,1097,15,10,56,55,62,87,96,164,194,169,101,45,43,-,948,76,28,14,16,6,12,872,4,7,61,53,47,69,78,123,129,133,81,46,41,-,1146,95,38,19,18,16,4,1051,8,8,57,70,67,64,100,132,173,144,125,55,48,-
"절도범죄",소계,101295,17111,4172,4388,3878,2626,2047,84099,1790,1431,7855,6625,5797,6980,6514,7995,8188,9554,7410,5216,8744,85,98425,17027,4371,4550,3938,2452,1716,81328,1407,1268,6593,6391,5214,6331,5994,7453,8355,9317,7945,5504,9556,70,85687,12692,3324,3558,2877,1789,1144,72931,935,1029,4822,5137,4189,4940,5124,6222,7551,8166,7924,5867,11025,64,94315,14772,4310,3906,3272,1971,1313,79478,955,893,4993,5750,4746,5191,5717,6292,7705,8298,8928,6765,13245,65
"폭력범죄",소계,346561,19638,2475,3475,3598,4050,6040,326411,6694,5469,30327,26932,26441,35247,34605,42120,39082,36152,21766,10534,11042,512,313990,15729,2009,2746,2947,3197,4830,297821,5779,4977,27040,24926,22505,31251,30488,37244,36627,33414,22110,10586,10874,440,264229,14654,2031,2695,2885,2815,4228,249293,4280,3884,21758,21188,18430,24855,25530,29854,30643,27449,20458,10261,10703,282,274673,16622,2919,3353,3239,3077,4034,257759,3892,3527,22864,23713,19967,25147,27579,29089,31129,26768,21362,11558,11164,292
"폭력범죄",상해,48854,2493,291,420,423,573,786,46337,786,662,3988,3573,3723,4933,4919,6120,5686,5207,3259,1634,1847,24,43552,1850,174,292,367,397,620,41664,667,582,3445,3244,3009,4341,4346,5278,5303,4870,3293,1590,1696,38,35588,1744,240,303,349,337,515,33839,489,460,3057,2802,2392,3249,3412,4067,4113,3937,2913,1474,1474,5,33198,2078,386,396,427,402,467,31111,426,373,2695,2738,2294,2931,3185,3383,3910,3408,2817,1435,1516,9
"폭력범죄",폭행,202710,7714,720,1108,1266,1654,2966,194749,3566,2946,17837,16270,15857,21487,21022,25246,23182,21778,13115,6242,6201,247,178448,6042,552,846,1012,1324,2308,172247,3062,2621,15336,14522,13032,18332,17838,21805,21102,19546,12849,6117,6085,159,145634,5717,698,894,1054,1108,1963,139805,2061,1979,11357,11757,10488,14566,14720,16866,17327,15340,11528,5834,5982,112,156232,6671,1057,1186,1230,1286,1912,149419,1837,1758,12406,13565,11846,15068,16574,17115,18019,15397,12540,6836,6458,142
"폭력범죄",체포·감금,1654,122,9,25,18,27,43,1523,67,62,160,152,133,151,138,174,165,161,86,43,31,9,1695,120,8,14,19,37,42,1572,63,54,214,132,136,183,141,167,158,163,94,30,37,3,1521,104,10,14,33,22,25,1384,52,39,185,170,108,155,129,122,143,117,75,45,44,33,1432,136,13,20,29,34,40,1291,37,43,162,169,108,137,148,122,113,97,80,42,33,5
"폭력범죄",협박,22377,672,84,110,169,149,160,21661,175,180,1155,1403,1592,2325,2518,3230,3147,2832,1652,764,688,44,22507,671,95,121,139,140,176,21779,191,174,1165,1456,1607,2307,2482,3072,3261,2792,1712,838,722,57,22023,655,101,118,137,151,148,21318,170,180,1246,1559,1617,2160,2336,2840,3101,2638,1848,844,779,50,22451,786,117,178,125,177,189,21628,140,199,1208,1675,1638,2113,2351,2752,3092,2661,2001,982,816,37
"폭력범죄",약취·유인,351,20,3,-,2,6,9,318,5,6,30,30,42,55,41,24,16,27,8,12,22,13,296,23,4,8,1,5,5,273,6,8,39,37,27,32,25,16,19,23,22,11,8,-,318,8,-,2,1,1,4,305,6,7,32,54,26,47,27,23,22,25,12,12,12,5,321,21,1,2,2,6,10,300,7,5,25,29,36,44,32,21,27,25,23,9,17,-
"폭력범죄",폭력행위등,28625,6450,1060,1393,1263,1204,1530,22067,1519,1106,4244,2533,2004,2142,1733,1985,1675,1485,867,422,352,108,25342,5025,836,1057,1008,893,1231,20206,1231,1024,3838,2327,1730,1983,1603,1822,1670,1381,871,395,331,111,20526,4563,687,956,916,850,1154,15934,993,782,3047,1803,1201,1374,1250,1477,1287,1188,823,414,295,29,21426,4795,912,1121,1012,781,969,16560,990,708,3453,2109,1216,1343,1355,1348,1360,1109,813,448,308,71
"폭력범죄",공갈,3552,1053,172,254,238,221,168,2487,110,100,282,197,223,240,262,295,302,235,130,64,47,12,3434,928,165,211,211,198,143,2477,118,88,277,264,247,296,233,250,250,205,151,57,41,29,2775,740,126,193,177,135,109,2033,91,63,289,229,174,184,192,177,202,186,141,60,45,2,2754,809,177,215,180,140,97,1940,72,75,286,221,186,192,168,196,176,163,118,54,33,5
