"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상,합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상,합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상,합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계,소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계,소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계,소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계
"합계",소계,소계,66247,14,56,17,68,13286,1395,1748,23084,9492,4232,550,38,13,1494,43,-,-,-,10717,64480,12,85,32,87,13912,1021,1925,24804,7905,4010,487,11,9,1522,58,-,-,-,8600,54017,18,82,16,60,12406,653,1234,22076,5784,3420,526,25,7,1490,39,-,-,-,6181,61026,19,90,17,71,16238,951,1536,22426,7140,3273,415,20,11,1641,40,0,0,0,7138
"형법범",소계,소계,54497,12,51,14,63,12076,1243,1383,18166,7664,3336,426,33,11,1128,33,-,-,-,8858,50969,8,71,28,67,12191,856,1538,18680,6247,3040,351,10,5,1062,50,-,-,-,6765,42388,15,70,9,50,10942,551,932,16511,4409,2582,403,22,5,1061,28,-,-,-,4798,48286,15,77,14,50,14301,796,1154,16778,5405,2349,305,15,4,1147,32,0,0,0,5844
"형법범",재산범죄,소계,27809,7,27,10,44,7404,800,839,9407,4611,1483,160,13,4,402,14,-,-,-,2584,28855,4,48,18,46,8158,556,1023,10607,3893,1509,130,2,2,392,32,-,-,-,2435,21785,8,46,3,34,6644,315,544,8317,2572,1138,149,14,1,377,20,-,-,-,1603,24414,12,46,7,23,8476,514,683,8032,3148,1029,118,9,1,452,10,0,0,0,1854
"형법범",재산범죄,절도,17141,4,22,5,28,6125,503,433,5990,2358,560,68,3,1,157,5,-,-,-,879,17066,1,37,11,27,6482,358,523,6434,1848,455,51,-,-,103,9,-,-,-,727,12715,7,36,2,14,5149,171,243,4910,1284,308,44,3,-,93,3,-,-,-,448,14797,9,34,5,12,6278,365,330,4937,1730,354,53,0,0,144,4,0,0,0,542
"형법범",재산범죄,장물,175,-,-,1,-,46,2,3,69,19,13,1,-,-,4,-,-,-,-,17,188,-,-,-,-,42,3,4,80,26,13,-,-,-,1,-,-,-,-,19,105,-,-,-,1,28,1,-,47,9,7,1,-,-,2,-,-,-,-,9,127,0,1,0,0,36,0,5,47,16,4,0,0,0,5,0,0,0,0,13
"형법범",재산범죄,사기,8088,2,4,3,13,843,245,324,2405,1899,734,65,7,3,152,9,-,-,-,1380,9212,3,9,4,14,1135,164,438,3102,1729,890,66,2,1,201,22,-,-,-,1432,6854,1,6,-,16,1025,113,255,2438,1049,682,78,10,1,214,15,-,-,-,951,6762,0,7,2,11,1389,120,273,2036,1075,540,40,6,1,212,5,0,0,0,1045
"형법범",재산범죄,횡령,1280,-,-,-,3,199,23,37,600,164,79,9,1,-,48,-,-,-,-,117,1309,-,2,2,1,258,16,35,629,149,79,4,-,1,42,-,-,-,-,91,983,-,-,1,-,210,14,16,516,93,61,4,-,-,22,-,-,-,-,46,1393,3,1,0,0,423,14,44,579,157,50,6,1,0,25,0,0,0,0,90
"형법범",재산범죄,배임,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",재산범죄,손괴,1124,1,1,1,-,191,27,42,343,171,97,17,2,-,41,-,-,-,-,190,1077,-,-,1,4,241,15,23,360,141,72,9,-,-,45,1,-,-,-,165,1127,-,4,-,3,232,16,30,405,137,80,22,1,-,46,2,-,-,-,149,1335,0,3,0,0,350,15,31,433,170,81,19,2,0,66,1,0,0,0,164
"형법범",강력범죄(흉악),소계,3665,-,2,-,-,712,47,45,1608,331,240,34,5,1,118,3,-,-,-,519,3134,-,6,3,1,681,30,58,1445,236,166,21,1,1,90,-,-,-,-,395,3606,-,6,1,4,913,15,42,1722,196,185,31,1,-,120,-,-,-,-,370,4893,0,6,0,5,1150,33,64,2252,218,208,28,1,1,198,2,0,0,0,727
"형법범",강력범죄(흉악),살인,20,-,-,-,-,4,-,-,6,5,2,1,-,-,-,-,-,-,-,2,9,-,-,-,-,2,-,2,3,2,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,3,1,-,1,4,-,1,-,-,1,-,-,-,-,-,15,0,0,0,0,1,2,1,4,0,0,1,0,0,0,0,0,0,0,6
"형법범",강력범죄(흉악),강도,366,-,1,-,-,69,24,13,107,99,33,3,2,-,5,-,-,-,-,10,324,-,-,-,1,85,8,11,127,61,15,1,-,-,3,-,-,-,-,12,178,-,-,1,1,54,5,6,76,18,10,-,-,-,1,-,-,-,-,6,169,0,0,0,0,30,11,9,68,41,5,1,0,0,1,0,0,0,0,3
"형법범",강력범죄(흉악),방화,99,-,-,-,-,43,1,8,32,3,-,-,-,-,-,-,-,-,-,12,99,-,-,-,-,35,-,1,38,8,8,1,-,-,1,-,-,-,-,7,76,-,-,-,-,32,-,4,28,7,3,-,-,-,1,-,-,-,-,1,95,0,0,0,0,46,1,6,32,7,0,0,0,0,0,0,0,0,0,3
"형법범",강력범죄(흉악),성폭력,3180,-,1,-,-,596,22,24,1463,224,205,30,3,1,113,3,-,-,-,495,2702,-,6,3,-,559,22,44,1277,165,143,19,1,1,86,-,-,-,-,376,3341,-,6,-,3,824,9,32,1617,167,172,30,1,-,117,-,-,-,-,363,4614,0,6,0,5,1073,19,48,2148,170,203,26,1,1,197,2,0,0,0,715
"형법범",강력범죄(폭력),소계,18622,5,19,2,15,3400,346,409,5664,2250,1308,185,15,4,372,13,-,-,-,4615,14744,4,15,7,14,2790,230,377,4976,1687,1091,151,3,2,393,15,-,-,-,2989,13614,6,14,5,10,2845,183,297,5052,1373,1093,198,6,3,451,6,-,-,-,2072,15429,3,21,6,16,3929,217,340,5156,1692,939,142,5,2,391,14,0,0,0,2556
"형법범",강력범죄(폭력),폭행,10139,2,10,1,12,1466,169,213,2661,975,734,90,10,1,183,5,-,-,-,3607,7830,4,8,1,8,1220,101,182,2270,793,594,77,1,1,245,9,-,-,-,2316,7360,5,9,4,2,1400,86,144,2517,651,618,123,2,3,267,4,-,-,-,1525,8513,2,7,4,10,1949,111,165,2613,820,551,68,2,2,225,8,0,0,0,1976
"형법범",강력범죄(폭력),상해,4995,3,5,-,2,1119,70,114,1915,690,415,74,4,2,164,4,-,-,-,414,3616,-,5,4,4,734,59,84,1498,433,368,55,-,1,112,3,-,-,-,256,3230,1,4,-,1,711,37,79,1345,384,319,53,-,-,125,-,-,-,-,171,3415,1,7,2,2,954,51,85,1321,394,248,47,2,0,124,4,0,0,0,173
"형법범",강력범죄(폭력),협박,854,-,-,-,-,154,12,10,231,100,49,7,-,-,4,2,-,-,-,285,775,-,-,1,-,166,15,18,265,84,39,5,-,-,12,3,-,-,-,167,789,-,-,1,1,169,13,16,300,65,42,10,2,-,17,1,-,-,-,152,915,0,0,0,1,213,12,33,298,119,48,5,0,0,16,0,0,0,0,170
"형법범",강력범죄(폭력),공갈,1750,-,3,1,1,413,70,50,594,352,65,10,1,-,15,1,-,-,-,174,1604,-,1,-,1,408,38,66,583,277,57,5,2,-,11,-,-,-,-,155,1141,-,-,-,2,311,28,36,410,169,44,6,1,-,13,-,-,-,-,121,1305,0,5,0,3,421,22,34,444,214,44,7,1,0,12,1,0,0,0,97
"형법범",강력범죄(폭력),약취와 유인,20,-,-,-,-,4,2,-,2,7,1,-,-,-,-,-,-,-,-,4,23,-,-,-,-,6,-,3,6,1,2,-,-,-,-,-,-,-,-,5,8,-,-,-,-,-,1,-,3,-,3,-,-,-,-,-,-,-,-,1,20,0,0,0,0,1,1,0,8,3,1,0,0,0,0,0,0,0,0,6
"형법범",강력범죄(폭력),체포와 감금,253,-,-,-,-,41,5,9,58,51,22,2,-,-,3,1,-,-,-,61,255,-,-,-,-,31,8,8,85,46,13,8,-,-,4,-,-,-,-,52,212,-,-,-,1,34,5,3,61,28,23,2,1,-,6,-,-,-,-,48,313,0,0,0,0,41,8,13,91,51,32,2,0,0,2,0,0,0,0,73
"형법범",강력범죄(폭력),폭력행위등(손괴강요주거침입등),542,-,-,-,-,187,15,12,173,72,16,2,-,1,3,-,-,-,-,61,610,-,1,1,1,221,8,15,256,48,16,1,-,-,6,-,-,-,-,36,790,-,1,-,2,211,13,19,364,72,38,3,-,-,16,1,-,-,-,50,888,0,2,0,0,339,12,8,353,78,13,13,0,0,12,1,0,0,0,57
"형법범",강력범죄(폭력),폭력행위 등(단체 등의 구성ㆍ활동),69,-,1,-,-,16,3,1,30,3,6,-,-,-,-,-,-,-,-,9,31,-,-,-,-,4,1,1,13,5,2,-,-,-,3,-,-,-,-,2,84,-,-,-,1,9,-,-,52,4,6,1,-,-,7,-,-,-,-,4,60,0,0,0,0,11,0,2,28,13,2,0,0,0,0,0,0,0,0,4
"형법범",위조범죄,소계,1350,-,-,2,2,67,21,36,658,220,116,17,-,-,113,1,-,-,-,97,1277,-,2,-,1,70,17,31,616,221,111,24,3,-,82,1,-,-,-,98,667,-,-,-,-,68,11,15,382,81,42,6,-,-,24,1,-,-,-,37,886,0,0,1,1,92,12,23,457,170,51,4,0,0,26,1,0,0,0,48
"형법범",위조범죄,통화,21,-,-,-,-,-,-,1,9,3,2,-,-,-,-,-,-,-,-,6,5,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",위조범죄,유가증권ㆍ인지ㆍ우표,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"형법범",위조범죄,문서,1310,-,-,2,2,67,19,35,643,213,112,17,-,-,112,1,-,-,-,87,1250,-,2,-,1,69,16,29,601,220,110,24,3,-,81,1,-,-,-,93,639,-,-,-,-,67,11,15,365,78,40,6,-,-,21,1,-,-,-,35,842,0,0,1,1,89,11,20,434,159,50,4,0,0,26,1,0,0,0,46
"형법범",위조범죄,인장,17,-,-,-,-,-,1,-,6,4,1,-,-,-,1,-,-,-,-,4,22,-,-,-,-,1,1,2,11,1,1,-,-,-,1,-,-,-,-,4,24,-,-,-,-,1,-,-,13,3,2,-,-,-,3,-,-,-,-,2,41,0,0,0,0,1,1,3,23,11,1,0,0,0,0,0,0,0,0,1
"형법범",공무원범죄,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,직무유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
