"범행동기별(1)",범행동기별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범행동기별(1)",범행동기별(2),합계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상,합계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상,합계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상,합계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상
"범행동기별(1)",범행동기별(2),소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계
"합계",소계,66247,59388,51197,115,369,2979,344,3506,39,35,802,2,271,6588,64480,58094,50582,134,253,2715,309,3221,40,37,799,4,214,6172,54017,48299,41927,142,189,2428,259,2689,25,30,605,5,183,5535,61026,54332,46389,194,238,2929,348,3479,34,45,673,3,225,6469
"이욕",소계,6724,6674,5144,11,76,609,61,610,8,-,155,-,42,8,8801,8764,7096,26,76,602,81,672,8,8,195,-,34,3,7991,7972,6708,24,41,532,57,464,2,6,136,2,18,1,8264,8236,6710,26,50,638,73,573,4,7,154,1,26,2
"이욕",생활비마련,2252,2230,1619,8,22,252,32,224,2,-,71,-,17,5,3026,3014,2371,9,37,237,35,219,5,4,97,-,12,-,2891,2884,2319,13,24,249,25,179,-,5,70,-,6,1,2954,2947,2332,8,24,262,37,229,1,2,52,0,7,0
"이욕",유흥비마련,988,985,745,3,26,75,10,104,2,-,20,-,3,-,1182,1179,941,7,3,91,14,101,-,1,21,-,3,-,986,983,837,3,5,66,9,53,-,-,9,1,3,-,936,933,778,5,4,57,8,67,0,0,14,0,2,1
"이욕",도박비마련,114,113,90,-,-,9,-,12,-,-,2,-,1,-,135,135,111,1,1,9,-,10,-,-,3,-,-,-,167,167,139,-,1,5,1,17,-,-,4,-,-,-,138,137,115,0,0,10,0,11,0,0,1,0,1,0
"이욕",허영사치심,42,42,35,-,1,2,1,2,-,-,1,-,-,-,80,79,65,-,1,6,-,7,-,-,-,-,1,-,82,82,72,-,-,4,1,1,-,-,4,-,-,-,78,77,69,1,0,2,0,4,1,0,0,0,0,1
"이욕",치부,11,11,11,-,-,-,-,-,-,-,-,-,-,-,20,19,19,-,-,-,-,-,-,-,-,-,1,-,18,18,16,-,-,2,-,-,-,-,-,-,-,-,4,4,3,0,0,1,0,0,0,0,0,0,0,0
